D?l?gation-ins;ref_tn_cod;1Km proximity to Health [% population] ;1Km proximity to Sport [% population] ;1Km proximity to school [% population] ;1Km proximity to elementary or highschool [% population] ;1Km proximity to Green space [% area];1Km proximity to Administration [% area];1Km proximity to Food [% area];700m proximity to PT [% area];Intersection [nb /ha];Road density [km/ha];Accidents [Nb/ha];Walking for commuting [%active  pop];PT for commuting [%active  pop];Irregular transport for commuting [%active  pop];Car for commuting [%active  pop];Commuting for <15 min [% active pop];Commuting for 15-30 min [% active pop];Commuting for >30 min [% active pop];Frequency PT [min]
Rad?s;1358;36.9;26.2;91.5;50.6;37.1;46.7;44.2;60.8;9.1;0.14;0.283;39.9;26.7;3.4;25.3;49;34.5;16.6;38
Megrine;1359;46.9;53.2;97.4;76.7;87;75.2;74.6;90.6;7.2;0.11;0.112;41.8;22.6;4;26.3;55.9;30.3;13.8;61
Mohamedia;1360;36.1;52.1;93.9;59.1;17.3;0.2;4.1;55.9;17;0.04;0.088;47.5;24.9;12.8;9.4;44.7;30.5;24.7;63
Fouchana;1361;33.2;14.1;81.7;29.8;37.7;50.1;57.6;78.8;7.9;0.09;0.132;47.3;28.2;8.7;10.4;42.8;36;21.2;55
Mornag;1362;33.9;21.5;61.9;21.4;0.4;10.7;0;46.8;7.2;0.02;0.249;40.7;27.2;13.1;13.3;45;34.9;20.1;55
Manouba;1451;40.8;36.6;89.8;64.9;65.1;4.3;10.4;97.3;12.6;0.16;0.215;33.8;29.7;3.4;29.1;48;32.3;19.7;44
Douar Hicher;1452;30.2;13.2;78.1;63.2;81.4;57.1;86.2;84.5;14.7;0.17;0.024;54.9;31.8;2.6;6.2;43.3;32.4;24.3;50
Oued Elil;1453;44.7;30.6;86.3;41.1;1.1;4.6;9.7;73.4;16.8;0.07;0.122;42;36;4.2;12.3;43.9;29.8;26.3;55
Mornaguia;1454;42.1;23;80.8;33.9;13.6;15.5;16.3;55.5;7.8;0.02;0.103;43.1;30.6;6.4;14.6;43.8;30.5;25.7;43
Borj Amri;1455;34.9;27.5;63.9;18.1;0;9;0;57.8;9;0.02;0.059;42.1;37.7;2;11.6;38.5;30.9;30.6;56
Jedeida;1456;42;25.6;67.5;17.2;0;19;10.2;56.6;8.9;0.02;0.059;43.8;32.8;6.1;9.6;43.6;29;27.4;51
Tebourba;1457;67.2;48.3;82.3;65.2;17.5;0;27.9;55.9;9.4;0.01;0.063;54.9;27.2;4.5;7.5;47.3;25;27.8;50
El Battane;1458;37.6;21.3;53.9;23.8;19.1;0;0;50.2;9.7;0.02;0.029;47.1;34.1;2.9;7.9;47.6;26.7;25.7;57
