Region;Delegation-ins;ref_tn_cod;Older people [%];Children [%]; Unemployed [%];Intrant migrant between 2009 et 2014 [%];Poverty rate [%];1Km proximity to Health [% population covered] ;1Km proximity to school [% population covered] ;1Km proximity to Green space [% build up area covered] ;1Km proximity to Administration [% build up area covered] ;700m proximity to PT [% build up area covered] ;Intersection [nb /ha] (Build up area);Road density [km/ha] (Total area);Accidents [Nb/ha] (Build up area);PT for commuting [%active  pop covered];Irregular transport for commuting [%active  pop covered];Commuting for >30 min [% active pop covered];Frequency PT [min]
Ben Arous;Megrine;1359;14.97;14.68;12.04;7.59;3.6;46.9;97.4;87;75.2;90.6;7.2;0.11;0.112;22.6;4;13.8;61
Ben Arous;Mohamedia;1360;7.35;19;15.32;10.8;7.1;36.1;93.9;17.3;0.2;55.9;17;0.04;0.088;24.9;12.8;24.7;63
Ben Arous;Fouchana;1361;7.85;17.41;14.59;13.07;7.3;33.2;81.7;37.7;50.1;78.8;7.9;0.09;0.132;28.2;8.7;21.2;55
Ben Arous;Mornag;1362;10.01;17.68;13.17;5.27;11.2;33.9;61.9;0.4;10.7;46.8;7.2;0.02;0.249;27.2;13.1;20.1;55
Manubah;Manouba;1451;12.45;14.65;15.13;12.96;3.8;40.8;89.8;65.1;4.3;97.3;12.6;0.16;0.215;29.7;3.4;19.7;44
Manubah;Douar Hicher;1452;9.61;16.34;19.15;6.89;10.8;30.2;78.1;81.4;57.1;84.5;14.7;0.17;0.024;31.8;2.6;24.3;50
Manubah;Oued Elil;1453;9.83;16.95;16.52;8.37;8.2;44.7;86.3;1.1;4.6;73.4;16.8;0.07;0.122;36;4.2;26.3;55
Manubah;Mornaguia;1454;10.81;16.29;12.97;9.06;7.8;42.1;80.8;13.6;15.5;55.5;7.8;0.02;0.103;30.6;6.4;25.7;43
Manubah;Borj Amri;1455;11.34;16.04;22.32;5.23;12.1;34.9;63.9;0;9;57.8;9;0.02;0.059;37.7;2;30.6;56
Manubah;Jedeida;1456;10.55;17.32;17.3;5.61;11.9;42;67.5;0;19;56.6;8.9;0.02;0.059;32.8;6.1;27.4;51
Manubah;Tebourba;1457;12.82;15.45;20.13;3.82;15.2;67.2;82.3;17.5;0;55.9;9.4;0.01;0.063;27.2;4.5;27.8;50
Manubah;El Battane;1458;12.26;16.87;17.8;3.56;14.5;37.6;53.9;19.1;0;50.2;9.7;0.02;0.029;34.1;2.9;25.7;57
